"Census.Tract","CES.3.0.Score","Total.Population","California.County","Hispanic....","White....","African.American....","Native.American....","Asian.American....","Other....","ZIP","Longitude","Latitude","Ozone","PM2.5","Diesel.PM","Drinking.Water","Pesticides","Tox..Release","Traffic","Cleanup.Sites","Groundwater.Threats","Haz..Waste","Imp..Water.Bodies","Solid.Waste","Pollution.Burden","Asthma","Low.Birth.Weight","Poverty","Unemployment"
6037208903,47.53,4019,"Los Angeles",82.8,5.3,6.9,0.1,3.6,1.4,90057,-118.2733596,34.0597996,0.046,12.89,60.69,664.07,0,4073.321275,1106.24,4.05,3.3,0.125,0,0,52.28,59.84,5.05,80,9.8
6029003121,47.52,8264,"Kern ",65.5,17.1,11.4,0.4,3.5,2.1,93307,-119.0121274,35.3176683,0.065,19.18,13.958,956.48,0,62.01665731,299.29,0.4,5.5,0.1,0,3.25,45.1,71.16,7.06,70.2,25.3
6019007002,47.5,4514,"Fresno ",80.7,16.3,0.4,0.8,0.9,0.9,93662,-119.6086518,36.5699543,0.065,16.24,20.19,403.11,43.91,847.1472585,89.52,11.5,11,0.1,0,5.5,56.74,102.07,3.76,65.3,8.9
6037294510,47.49,4214,"Los Angeles",92.9,3.8,1.1,0.1,1.5,0.5,90744,-118.271694,33.7865877,0.042,11.21,20.169,198.88,2.57,8477.438561,1064.56,0.95,22.45,0.64,0,1,50.01,70.22,4.1,69.7,11.1
6037222600,47.48,5631,"Los Angeles",54.5,7.7,24.1,0.1,10.6,3,90007,-118.295871,34.0218424,0.046,12.89,33.318,664.07,0,3573.280422,850.5,1,0,0.125,0,0,47.2,55.35,8.12,69.8,12.3
6037127804,47.48,3933,"Los Angeles",50.9,28,6.8,0.3,11.5,2.4,91405,-118.4618228,34.1974926,0.055,11.21,18.09,618.05,0,683.3824056,1137.68,0.1,7.5,0.11,0,0,43.83,98.74,8.2,50,12.7
6037270300,47.47,2364,"Los Angeles",34.9,14.9,38.2,0.3,7.4,4.1,90034,-118.3718243,34.0405392,0.046,12.05,26.682,664.07,0,1864.288097,2398.71,3,27.5,1.25,9,6.5,67.39,40.33,8.33,25.3,9.9
6031000800,47.47,4858,"Kings ",54.1,35.9,4.9,0.6,2.3,2.2,93230,-119.6189777,36.3279951,0.062,17.08,9.48,626.5,53.82,163.4521211,310.96,10.5,22,0,0,8,53.43,138.1,5.34,49.3,14.3
6037128601,47.46,4288,"Los Angeles",48.6,40.4,4.5,0.2,3.6,2.8,91401,-118.4410821,34.1784585,0.055,11.21,25.49,618.05,0,1016.488601,986.67,1,5.5,0.1,6,0,50.38,56.62,6.11,51.1,10.2
6073003602,47.45,3079,"San Diego",84.4,3.1,8.8,0.2,2.7,0.8,92113,-117.1074107,32.6929366,0.038,11.21,36.309,228.07,0,539.3197735,410.57,2,7.5,0.145,9,2.5,43.4,127.1,6.81,62,11.7
6065040402,47.45,4224,"Riverside ",64.8,31.5,1,0.2,1,1.5,92509,-117.4868554,33.9745825,0.062,14.15,9.64,881.3,0,3597.996378,546.88,12.1,5,0,3,1.2,51.76,52.78,5.41,42.3,23.9
6071003200,47.45,8005,"San Bernardino",73.8,20.3,3.5,0.2,1.2,1,92335,-117.4269916,34.084891,0.065,12.89,34.468,516.07,0,4091.441442,440.43,7.75,0,0.535,0,0,50.5,69.08,4.64,56.6,21.4
